division,adress,cctv,lat,long,cctvCnt,date
강서구,C251055_화곡1동 911-30,방범,37.52776931,126.8438131,1,2021-01-29
강서구,C251038_화곡1동 934-5 - 카메라 1,방범,37.52782,126.84161,1,2021-01-29
강서구,C251020(A2046)_화곡1동 909-1,방범,37.527996,126.84584,1,2021-01-29
강서구,C251075_화곡1동 911-3(고정1) 국회대로 방향,방범,37.52830285,126.8443319,1,2021-01-29
강서구,C251092_화곡1동 927-6(고정1) 월정로 101 샤르망 빌딩 방향,방범,37.52841123,126.8415355,1,2021-01-29
강서구,C251092_화곡1동 927-6(고정2) 궁전 아파트 호돌이공원 방향,방범,37.5284225,126.8415354,1,2021-01-29
강서구,C251091_화곡1동 910-1(고정1) 웰라이빌 아파트 방향,방범,37.52843934,126.8457822,1,2021-01-29
강서구,C251091_화곡1동 910-1(고정2) 화곡 고가사거리 방향,방범,37.52845287,126.8457849,1,2021-01-29
강서구,C251085_화곡1동 927-7(고정3) 한양아이클래스빌딩 방향,방범,37.52865884,126.8414895,1,2021-01-29
강서구,C251085_화곡1동 927-7(고정2) 화곡 더하임 보람아파트 방향,방범,37.52866336,126.8414908,1,2021-01-29
강서구,C251085_화곡1동 927-7(고정1) 지석 아파트 방향,방범,37.52866561,126.8414908,1,2021-01-29
강서구,C251086_화곡1동 904-13(보조1) 호돌이공원 방향,방범,37.52872937,126.8472934,1,2021-01-29
강서구,C251086_화곡1동 904-13,방범,37.52873164,126.8472962,1,2021-01-29
강서구,C251042(A7008)[경찰방범]_화곡1동 936-4,방범,37.528767,126.84022,1,2021-01-29
강서구,C301010_(유통)화곡8동 888-1,방범,37.52885,126.850716,1,2021-01-29
강서구,C251074_화곡1동 923-3(고정1) 강서로 7길 132 하나 어린이집 방향,방범,37.52895357,126.8414062,1,2021-01-29
강서구,C251074_화곡1동 923-3(고정2)한양 아이클래스 방향,방범,37.52895359,126.8414091,1,2021-01-29
강서구,C301038_화곡8동 887-11(고정2) 삼익 아파트 방향,방범,37.52899488,126.8517219,1,2021-01-29
강서구,C301038_화곡8동 887-11(고정1) 율창 아파트 방향,방범,37.52900616,126.8517247,1,2021-01-29
강서구,C251074_화곡1동 923-3(고정4) 곰달래로 18길 3 남광아파트 방향,방범,37.5290324,126.8413999,1,2021-01-29
강서구,C251074_화곡1동 923-3(고정3) 웰라이빌 아파트 방향,방범,37.52903464,126.841397,1,2021-01-29
강서구,C251101_화곡1동 926-10(고정2) - 곰돌이공원 방향,방범,37.5291466,126.842198,1,2021-01-29
강서구,C251101_화곡1동 926-10(고정1) - 영광교회 방향,방범,37.52914668,126.8421986,1,2021-01-29
강서구,C261009(A1086)_(유통)화곡2동 885-6,방범,37.529167,126.8532,1,2021-01-29
강서구,C261009(A1086)_(유통)화곡2동 885-6(보조1) 화곡2동성당 방향,방범,37.529167,126.8532,1,2021-01-29
강서구,C251045(A8016)_화곡1동 925-7 (강서로7길90),방범,37.52925,126.84291,1,2021-01-29
강서구,C261027_화곡2동 885-1(고정1) 은창 아파트 방향,방범,37.5292787,126.854181,1,2021-01-29
강서구,C261027_화곡2동 885-1(고정2) 삼성 아파트 방향,방범,37.5292787,126.854181,1,2021-01-29
강서구,C251049_화곡1동 922-13,방범,37.529366,126.84017,1,2021-01-29
강서구,C251049_화곡1동 922-13(보조1) 하나어린이집방향,방범,37.529366,126.84017,1,2021-01-29
강서구,C251049_화곡1동 922-13(보조2) 월정로18길 20방향,방범,37.529366,126.84017,1,2021-01-29
강서구,C301016(A4031)_화곡8동 893-1,방범,37.529385,126.84936,1,2021-01-29
강서구,C301016(A4031)_화곡8동 893-1(보조1) 강서로5라길 33 장미맨션 방향,방범,37.529385,126.84936,1,2021-01-29
강서구,C261004(A1080)_(유통)화곡2동 854-1,방범,37.52942411,126.8552154,1,2021-01-29
강서구,C251099_화곡1동 938-2(고정4) - 곰달래로 방향,방범,37.5295609,126.840223,1,2021-01-29
